Flight time,Location,Aircraft name,Task Type,Sprayed area,Total Amount(L/Kg),Flight duration(min:sec),Crop,Pliot Name,Team Name,Field Name,Serial Number,Starting Battery Level,Ending Battery Level,Battery SN,source_file
2024-02-12 16:37:39-16:39:01,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.96,2.75,1:21,other,UTPL,default team,,R6806783481,77,64,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 16:39:01-16:40:24,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.07,2.9,1:22,other,UTPL,default team,,R6866851122,64,50,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 16:40:24-16:41:40,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.65,2.33,1:15,other,UTPL,default team,,R6906896216,50,38,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 16:41:40-16:42:50,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.15,3.03,1:09,other,UTPL,default team,,R6946941310,38,28,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 16:42:50-16:45:18,"Baclayon, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.87,9.21,2:28,other,UTPL,default team,,R7007008951,28,12,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 16:56:59-16:59:15,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.37,4.65,2:16,other,UTPL,default team,,R7107121686,100,78,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 16:59:15-17:00:50,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,4.15,5.68,1:34,other,UTPL,default team,,R7147166780,78,64,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:00:50-17:02:08,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.46,4.73,1:17,other,UTPL,default team,,R7187211874,64,54,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:02:41-17:03:42,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.34,3.25,1:00,other,UTPL,default team,,R7287324609,50,43,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:30:37-17:32:36,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,0.44,0.7,1:59,other,UTPL,default team,,R7407459891,99,79,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:32:36-17:33:42,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.19,1.73,1:05,other,UTPL,default team,,R7467527532,79,67,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:33:42-17:34:51,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.47,2.12,1:08,other,UTPL,default team,,R7507572626,67,54,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:34:51-17:36:06,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,2.09,2.96,1:14,other,UTPL,default team,,R7527595173,54,42,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:36:06-17:37:25,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.91,2.69,1:18,other,UTPL,default team,,R7567640267,42,31,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:37:25-17:39:24,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.37,1.95,1:59,other,UTPL,default team,,R7627707908,31,14,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:40:46-17:42:57,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.21,1.72,2:11,other,UTPL,default team,,R7687775549,100,84,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:42:57-17:44:00,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,0.36,0.57,1:02,other,UTPL,default team,,R7727820643,84,76,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:44:00-17:44:38,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.15,1.65,0:37,other,UTPL,default team,,R7747843190,76,72,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 17:59:28-18:01:26,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,3.04,4.21,1:58,other,UTPL,default team,,R7948068660,99,81,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 18:01:27-18:02:13,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.78,2.55,0:46,other,UTPL,default team,,R8048181395,81,75,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 18:02:37-18:03:34,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.48,2.14,0:57,other,UTPL,default team,,R8148294130,71,63,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 18:03:35-18:04:32,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.26,1.82,0:57,other,UTPL,default team,,R8228384318,63,55,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 18:04:33-18:05:02,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.19,1.73,0:29,other,UTPL,default team,,R8248406865,55,51,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 18:05:29-18:06:26,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,0.89,1.37,0:57,other,UTPL,default team,,R8348519600,48,41,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-12 18:06:27-18:06:53,"Alanib, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,1.04,1.57,0:26,other,UTPL,default team,,R8428609788,41,38,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 06:40:00-06:46:49,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,22.98,30.37,6:49,other,UTPL,default team,,R0033302037,100,40,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 06:49:10-06:55:05,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,23.41,31.3,5:55,other,UTPL,default team,,R0133414772,100,34,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 06:57:38-07:03:26,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,24.45,32.55,5:48,other,UTPL,default team,,R0153437319,100,49,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
2024-02-13 07:05:57-07:13:15,"Aglayan - Alanib - Ticalaan Road, Purok 1, Babahagon, Balila, Lantapan, Bukidnon, Northern Mindanao, Philippines",T40 Drone 2,Spraying,23.99,31.91,7:18,other,UTPL,default team,,R0293595148,100,38,,MKAVI1 T40 RPU028B_FEB_2024_Automode__flight_record.csv
