latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.838313,125.14066,313.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),wind_speed_10m (km/h),wind_direction_10m (°),relative_humidity_2m (%),precipitation (mm)
2024-01-05T17:00,28.2,9.5,53,67,0.00
2024-01-05T18:00,26.8,10.4,56,71,0.00
2024-01-05T19:00,25.7,8.9,47,76,0.00
2024-01-05T20:00,25.0,8.9,32,82,0.00
2024-01-05T21:00,24.4,7.6,59,82,0.00
2024-01-05T22:00,23.9,8.6,57,86,0.00
2024-01-05T23:00,23.5,9.3,54,89,0.00
2024-01-06T00:00,23.2,9.0,61,90,0.00
2024-01-06T01:00,23.0,9.4,67,89,0.00
2024-01-06T02:00,23.2,8.2,61,88,0.00
2024-01-06T03:00,22.8,8.2,61,90,0.00
2024-01-06T04:00,22.4,7.4,67,92,0.00
2024-01-06T05:00,22.2,6.6,61,93,0.00
2024-01-06T06:00,22.7,7.4,47,92,0.00
2024-01-06T07:00,23.7,9.7,48,89,0.10
2024-01-06T08:00,25.9,9.7,22,82,0.00
2024-01-06T09:00,25.8,11.3,17,82,0.20
2024-01-06T10:00,26.7,14.6,33,78,0.10
2024-01-06T11:00,27.6,16.1,39,75,0.00
2024-01-06T12:00,28.6,16.6,41,69,0.00
2024-01-06T13:00,29.0,14.6,50,70,0.10
2024-01-06T14:00,29.1,15.8,47,70,0.10
2024-01-06T15:00,27.8,12.0,46,76,0.80
2024-01-06T16:00,27.6,11.0,38,76,0.00
2024-01-06T17:00,26.4,8.6,15,83,0.00
2024-01-06T18:00,25.5,9.0,23,85,0.00
2024-01-06T19:00,24.9,8.9,32,88,0.00
2024-01-06T20:00,24.3,9.4,47,90,0.00
2024-01-06T21:00,24.4,7.1,49,90,0.00
2024-01-06T22:00,24.1,7.5,55,91,0.00
2024-01-06T23:00,23.9,7.1,60,92,0.00
2024-01-07T00:00,23.6,8.4,59,93,0.00
2024-01-07T01:00,23.3,8.9,63,94,0.00
2024-01-07T02:00,23.3,9.2,59,93,0.00
2024-01-07T03:00,23.1,9.2,59,94,0.00
2024-01-07T04:00,22.7,9.6,70,95,0.00
2024-01-07T05:00,22.9,8.0,63,94,0.00
2024-01-07T06:00,23.2,7.9,51,93,0.00
2024-01-07T07:00,24.6,9.9,44,90,0.00
2024-01-07T08:00,26.1,13.8,33,83,0.00
2024-01-07T09:00,27.3,14.3,28,79,0.20
2024-01-07T10:00,28.0,17.9,30,77,0.40
2024-01-07T11:00,28.8,16.9,38,73,0.20
2024-01-07T12:00,29.7,15.8,41,67,0.10
2024-01-07T13:00,30.1,14.5,42,65,0.10
2024-01-07T14:00,29.9,14.8,47,65,0.00
2024-01-07T15:00,29.8,15.8,47,65,0.00
2024-01-07T16:00,29.2,15.3,47,67,0.00
2024-01-07T17:00,28.0,12.3,38,73,0.00
2024-01-07T18:00,26.5,10.9,46,77,0.00
2024-01-07T19:00,25.5,9.9,44,82,0.00
2024-01-07T20:00,24.8,10.2,42,86,0.00
2024-01-07T21:00,25.0,10.2,45,85,0.00
2024-01-07T22:00,24.7,9.2,48,87,0.00
2024-01-07T23:00,24.2,9.9,57,90,0.00
2024-01-08T00:00,23.6,10.0,52,92,0.00
2024-01-08T01:00,23.4,9.5,53,92,0.00
2024-01-08T02:00,23.7,9.5,53,91,0.00
2024-01-08T03:00,23.4,9.8,54,92,0.00
2024-01-08T04:00,23.4,9.7,51,92,0.00
2024-01-08T05:00,23.2,10.4,44,92,0.00
2024-01-08T06:00,23.4,11.0,49,91,0.10
2024-01-08T07:00,24.9,13.8,47,85,0.00
2024-01-08T08:00,26.5,14.6,40,79,0.00
2024-01-08T09:00,27.2,17.4,34,75,0.00
2024-01-08T10:00,28.5,17.5,37,69,0.10
2024-01-08T11:00,29.0,19.6,46,66,0.10
2024-01-08T12:00,28.9,19.4,42,67,0.20
2024-01-08T13:00,28.8,18.2,52,68,0.10
2024-01-08T14:00,29.5,19.0,53,63,0.00
2024-01-08T15:00,29.2,18.5,53,62,0.00
2024-01-08T16:00,28.6,17.4,50,64,0.00
2024-01-08T17:00,27.6,13.7,45,68,0.00
2024-01-08T18:00,26.7,13.5,48,69,0.00
2024-01-08T19:00,25.6,13.2,47,72,0.00
2024-01-08T20:00,24.9,13.0,42,78,0.00
2024-01-08T21:00,25.1,10.6,35,80,0.00
2024-01-08T22:00,24.8,11.7,34,83,0.10
2024-01-08T23:00,24.4,10.8,30,87,0.00
2024-01-09T00:00,24.2,12.0,44,88,0.00
2024-01-09T01:00,24.1,10.4,44,88,0.10
2024-01-09T02:00,23.9,9.5,37,89,0.00
2024-01-09T03:00,23.4,10.2,42,92,0.00
2024-01-09T04:00,23.2,10.0,38,93,0.00
2024-01-09T05:00,23.2,9.6,34,92,0.00
2024-01-09T06:00,23.6,8.9,14,91,0.00
2024-01-09T07:00,24.5,10.5,16,88,0.00
2024-01-09T08:00,25.6,11.6,26,84,0.00
2024-01-09T09:00,26.4,13.0,14,85,0.20
2024-01-09T10:00,27.2,14.2,24,82,0.20
2024-01-09T11:00,28.1,15.6,34,77,0.30
2024-01-09T12:00,28.5,14.6,40,72,0.30
2024-01-09T13:00,29.3,13.6,32,70,0.20
2024-01-09T14:00,29.5,13.5,34,67,0.00
2024-01-09T15:00,29.4,12.2,45,66,0.10
2024-01-09T16:00,28.2,11.8,27,73,0.10
2024-01-09T17:00,27.2,10.4,20,79,0.00
2024-01-09T18:00,26.1,9.0,29,82,0.00
2024-01-09T19:00,25.5,10.0,41,84,0.00
2024-01-09T20:00,24.9,10.5,41,86,0.00
2024-01-09T21:00,24.9,8.7,48,86,0.00
2024-01-09T22:00,24.6,9.0,37,89,0.00
2024-01-09T23:00,24.4,9.2,39,91,0.00
2024-01-10T00:00,24.1,8.7,38,93,0.00
2024-01-10T01:00,24.0,7.5,35,93,0.00
2024-01-10T02:00,24.0,7.6,45,94,0.00
2024-01-10T03:00,24.0,7.9,47,94,0.00
2024-01-10T04:00,23.8,8.0,36,95,0.00
2024-01-10T05:00,23.7,8.8,35,96,0.00
2024-01-10T06:00,23.4,8.2,38,97,0.00
2024-01-10T07:00,24.7,10.1,35,91,0.00
2024-01-10T08:00,26.5,12.4,26,82,0.00
2024-01-10T09:00,27.6,12.4,36,76,0.00
2024-01-10T10:00,28.8,10.7,40,71,0.00
2024-01-10T11:00,29.7,11.0,23,69,0.00
2024-01-10T12:00,30.2,11.6,26,67,0.10
2024-01-10T13:00,30.2,11.8,12,69,0.10
2024-01-10T14:00,30.9,12.3,21,65,0.00
2024-01-10T15:00,30.6,12.7,45,63,0.10
2024-01-10T16:00,30.0,11.6,54,65,0.00
2024-01-10T17:00,28.6,4.0,80,75,0.00
2024-01-10T18:00,27.5,2.8,140,73,0.00
2024-01-10T19:00,26.4,1.5,166,78,0.00
2024-01-10T20:00,24.9,3.6,90,87,0.00
2024-01-10T21:00,24.8,4.8,63,88,0.00
2024-01-10T22:00,24.7,4.1,45,88,0.00
2024-01-10T23:00,24.8,3.7,29,88,0.00
2024-01-11T00:00,24.4,4.8,27,90,0.00
2024-01-11T01:00,23.7,6.8,25,93,0.00
2024-01-11T02:00,22.9,7.7,37,97,0.00
2024-01-11T03:00,22.9,7.4,43,96,0.00
2024-01-11T04:00,22.7,8.4,40,97,0.00
2024-01-11T05:00,22.9,8.7,42,95,0.00
2024-01-11T06:00,22.8,7.7,53,95,0.00
2024-01-11T07:00,24.3,7.6,45,89,0.00
2024-01-11T08:00,26.1,10.6,28,81,0.00
2024-01-11T09:00,26.6,15.0,21,81,0.20
2024-01-11T10:00,28.0,18.3,36,74,0.20
2024-01-11T11:00,29.4,17.8,42,66,0.00
2024-01-11T12:00,30.0,17.6,46,62,0.00
2024-01-11T13:00,30.3,16.8,47,60,0.00
