operation_mode,start_datetime,session_id,flight_duration_min,operation_mode_enc,month,season,hour,starting_battery,sprayed_area,total_amount_l,hour_sin,hour_cos,month_sin,month_cos,flight_index_within_day,rolling_duration_3,temperature_2m,wind_speed_10m,precipitation
AUTO,2024-01-03 07:07:10,AUTO_0,6.8,0,1,Dry,7,99.0,0.47933333333333333,9.83,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,2.5694444444444446,23.3,5.4,0.0
AUTO,2024-01-03 07:16:20,AUTO_0,7.616666666666667,0,1,Dry,7,100.0,1.03,20.68,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1,6.8,23.3,5.4,0.0
AUTO,2024-01-03 07:26:09,AUTO_0,9.366666666666667,0,1,Dry,7,100.0,1.5206666666666666,30.52,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,2,7.208333333333334,23.3,5.4,0.0
AUTO,2024-01-03 07:38:44,AUTO_0,9.0,0,1,Dry,7,100.0,1.51,30.25,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,3,7.927777777777778,23.3,5.4,0.0
AUTO,2024-01-03 07:55:07,AUTO_0,3.6833333333333336,0,1,Dry,7,100.0,0.47533333333333333,9.62,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,4,8.661111111111111,23.3,5.4,0.0
AUTO,2024-01-03 07:58:48,AUTO_0,4.633333333333333,0,1,Dry,7,58.0,0.6306666666666667,12.63,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,5,7.3500000000000005,23.3,5.4,0.0
AUTO,2024-01-03 08:06:37,AUTO_0,5.133333333333334,0,1,Dry,8,100.0,0.36533333333333334,9.57,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,6,5.772222222222222,24.7,4.3,0.0
AUTO,2024-01-03 08:43:51,AUTO_0,7.633333333333333,0,1,Dry,8,99.0,1.1213333333333333,23.22,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,7,4.483333333333333,24.7,4.3,0.0
AUTO,2024-01-03 08:53:21,AUTO_0,8.066666666666666,0,1,Dry,8,100.0,1.5266666666666666,31.26,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,8,5.8,24.7,4.3,0.0
AUTO,2024-01-03 09:05:15,AUTO_0,8.416666666666666,0,1,Dry,9,100.0,1.6226666666666667,33.22,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,9,6.944444444444444,24.6,3.9,0.0
AUTO,2024-01-03 09:15:51,AUTO_0,8.7,0,1,Dry,9,100.0,1.6486666666666667,33.7,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,10,8.03888888888889,24.6,3.9,0.0
AUTO,2024-01-03 09:26:45,AUTO_0,8.933333333333334,0,1,Dry,9,100.0,1.5693333333333332,32.07,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,11,8.394444444444444,24.6,3.9,0.0
AUTO,2024-01-03 09:38:06,AUTO_0,9.216666666666667,0,1,Dry,9,100.0,1.6406666666666667,33.56,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,12,8.683333333333332,24.6,3.9,0.0
AUTO,2024-01-03 09:49:30,AUTO_0,7.75,0,1,Dry,9,100.0,1.2726666666666666,26.05,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,13,8.950000000000001,24.6,3.9,0.0
AUTO,2024-01-03 09:59:04,AUTO_0,7.483333333333333,0,1,Dry,9,100.0,1.014,20.75,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,14,8.633333333333333,24.6,3.9,0.0
AUTO,2024-01-03 10:11:39,AUTO_0,8.566666666666666,0,1,Dry,10,99.0,1.5006666666666668,30.26,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,15,8.15,25.8,5.2,0.1
AUTO,2024-01-03 10:22:32,AUTO_0,8.333333333333334,0,1,Dry,10,100.0,1.4840000000000002,29.96,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,16,7.933333333333334,25.8,5.2,0.1
AUTO,2024-01-03 10:33:22,AUTO_0,8.783333333333333,0,1,Dry,10,100.0,1.5599999999999998,31.48,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,17,8.127777777777778,25.8,5.2,0.1
AUTO,2024-01-03 10:44:13,AUTO_0,9.25,0,1,Dry,10,100.0,1.6153333333333333,32.46,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,18,8.561111111111112,25.8,5.2,0.1
AUTO,2024-01-03 11:05:18,AUTO_0,8.966666666666667,0,1,Dry,11,100.0,1.5146666666666666,30.49,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,19,8.78888888888889,26.3,7.0,0.0
AUTO,2024-01-03 11:34:53,AUTO_0,9.9,0,1,Dry,11,99.0,1.6433333333333333,29.47,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,20,9.0,26.3,7.0,0.0
AUTO,2024-01-04 06:28:59,AUTO_1,4.466666666666667,0,1,Dry,6,99.0,0.5853333333333333,11.85,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,2.5694444444444446,20.5,6.2,0.0
AUTO,2024-01-04 06:33:27,AUTO_1,3.3,0,1,Dry,6,53.0,0.3606666666666667,7.35,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,1,4.466666666666667,20.5,6.2,0.0
AUTO,2024-01-04 06:42:25,AUTO_1,4.033333333333333,0,1,Dry,6,99.0,0.3953333333333333,8.01,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,2,3.8833333333333333,20.5,6.2,0.0
AUTO,2024-01-04 06:46:28,AUTO_1,3.65,0,1,Dry,6,58.0,0.7100000000000001,14.27,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,3,3.9333333333333336,20.5,6.2,0.0
AUTO,2024-01-04 07:05:12,AUTO_1,4.95,0,1,Dry,7,99.0,0.7153333333333334,14.41,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,4,3.661111111111111,22.8,5.8,0.0
AUTO,2024-01-04 07:10:09,AUTO_1,4.483333333333333,0,1,Dry,7,42.0,0.8186666666666667,16.48,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,5,4.211111111111111,22.8,5.8,0.0
AUTO,2024-01-04 07:17:21,AUTO_1,5.2,0,1,Dry,7,100.0,0.6673333333333333,13.5,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,6,4.361111111111112,22.8,5.8,0.0
AUTO,2024-01-04 07:22:33,AUTO_1,3.1333333333333333,0,1,Dry,7,48.0,0.6906666666666667,13.91,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,7,4.877777777777777,22.8,5.8,0.0
AUTO,2024-01-04 07:45:07,AUTO_1,5.816666666666666,0,1,Dry,7,99.0,0.7213333333333334,14.56,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,9,4.272222222222223,22.8,5.8,0.0
AUTO,2024-01-04 07:50:56,AUTO_1,2.25,0,1,Dry,7,39.0,0.25066666666666665,5.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,10,4.716666666666668,22.8,5.8,0.0
AUTO,2024-01-04 07:55:04,AUTO_1,4.3,0,1,Dry,7,100.0,0.5206666666666666,10.52,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,11,3.733333333333334,22.8,5.8,0.0
AUTO,2024-01-04 07:59:22,AUTO_1,4.2,0,1,Dry,7,49.0,0.5066666666666666,10.21,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,12,4.122222222222223,22.8,5.8,0.0
AUTO,2024-01-04 08:07:59,AUTO_1,4.983333333333333,0,1,Dry,8,99.0,0.44133333333333336,8.92,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,13,3.583333333333334,24.1,4.6,0.0
AUTO,2024-01-04 08:12:58,AUTO_1,1.9333333333333333,0,1,Dry,8,36.0,0.13799999999999998,2.76,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,14,4.4944444444444445,24.1,4.6,0.0
AUTO,2024-01-04 08:17:02,AUTO_1,4.133333333333334,0,1,Dry,8,100.0,0.37733333333333335,7.67,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,15,3.7055555555555557,24.1,4.6,0.0
AUTO,2024-01-04 08:21:10,AUTO_1,3.8833333333333333,0,1,Dry,8,55.0,0.5253333333333333,15.73,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,16,3.683333333333334,24.1,4.6,0.0
AUTO,2024-01-04 16:22:38,AUTO_2,3.1166666666666667,0,1,Dry,16,99.0,0.20466666666666666,4.22,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,17,2.5694444444444446,27.4,8.3,0.0
AUTO,2024-01-04 16:25:45,AUTO_2,2.4,0,1,Dry,16,63.0,0.25533333333333336,5.23,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,18,3.1166666666666667,27.4,8.3,0.0
